직급코드	공무원구분코드	직종	직종세분류코드	직군코드	직렬코드	직류코드	계급코드	직급명	폐지여부
19252	2	2	L	47	198	095	017	지방방송통신주사보(일반임기제)	0
19253	2	2	L	47	198	096	017	지방방송통신주사보(일반임기제)	0
19254	2	2	L	47	198	097	017	지방방송통신주사보(일반임기제)	0
19255	2	2	L	47	198	094	018	지방방송통신서기(일반임기제)	0
19256	2	2	L	47	198	095	018	지방방송통신서기(일반임기제)	0
19257	2	2	L	47	198	096	018	지방방송통신서기(일반임기제)	0
19258	2	2	L	47	198	097	018	지방방송통신서기(일반임기제)	0
19259	2	2	L	47	198	094	019	지방방송통신서기보(일반임기제)	0
19260	2	2	L	47	198	095	019	지방방송통신서기보(일반임기제)	0
19261	2	2	L	47	198	096	019	지방방송통신서기보(일반임기제)	0
19262	2	2	L	47	198	097	019	지방방송통신서기보(일반임기제)	0
19263	2	2	L	55	240	269	018	지방사무운영서기(일반임기제)	0
19264	2	2	L	55	240	269	019	지방사무운영서기보(일반임기제)	0
19265	2	2	L	55	240	270	016	지방사무운영주사(일반임기제)	1
19266	2	2	L	55	240	270	017	지방사무운영주사보(일반임기제)	1
19267	2	2	L	55	240	270	018	지방사무운영서기(일반임기제)	1
19268	2	2	L	55	240	270	019	지방사무운영서기보(일반임기제)	1
19269	2	2	L	55	240	281	016	지방사무운영주사(일반임기제)	0
19270	2	2	L	55	240	281	017	지방사무운영주사보(일반임기제)	0
19271	2	2	L	55	240	281	018	지방사무운영서기(일반임기제)	0
19272	2	2	L	55	240	281	019	지방사무운영서기보(일반임기제)	0
19273	2	2	L	02	060	099	016	지방속기주사(일반임기제)	0
