직급_code,직급_value
03991,탐지견관리요원(6급상당)
03992,탐지견관리요원(7급상당)
03993,탐지견관리요원(8급상당)
03994,통계요원(5급상당)
03995,통계요원(6급상당)
03996,통계요원(7급상당)
03997,통계요원(8급상당)
03998,통계요원(9급상당)
03999,통근차량관리(7급상당)
04000,통신담당(6급상당)
04001,통신요원(8급상당)
04002,통역관(5급상당)
04003,통역원(5급상당)
04004,통역원(6급상당)
04005,통역원(7급상당)
04006,통역안내요원(6급상당)
04007,투자홍보담당관(5급상당)
04008,특수촬영요원(9급상당)
04009,특수훈련교사(6급상당)
04010,특수훈련교사(7급상당)
04011,특수훈련교사(8급상당)
04012,편집담당(6급상당)
04013,표구제작요원(7급상당)
04014,항공기정비사(5급상당)
04015,항공기정비사(6급상당)
04016,항공기정비사(7급상당)
04017,행정관(4급상당)
04018,행정관(5급상당)
04019,행정담당(4급상당)
04020,현황분석사(6급상당)
04021,현황종합관(5급상당)
04022,형사사진감정관(5급상당)
04023,형사사진감정담당(6급상당)
04024,형사사진감정담당(7급상당)
04025,형사사진감식담당(7급상당)
04026,홍보담당(5급상당)
04027,홍보담당(6급상당)
04028,홍보담당(7급상당)
04029,홍보요원(6급상당)
04030,화생방요원(6급상당)
04031,후생요원(7급상당)
04032,후생요원(8급상당)
04033,건축요원(6급상당)
04034,건축요원(7급상당)
04035,예비군관리요원(5급상당)
04036,예비군관리요원(6급상당)
04037,예비군관리요원(7급상당)
04038,예비군관리요원(8급상당)
04039,예비군관리요원(9급상당)
04040,예비군담당요원(5급상당)
04041,예비군담당요원(6급상당)
04042,예비군담당요원(7급상당)
04043,예비군담당요원(8급상당)
04044,예비군담당요원(9급상당)
04045,서기(6급상당)
04046,위생관리담당(5급상당)
04047,위생관리담당(6급상당)
04048,위생관리담당(7급상당)
04049,시청각교육요원(7급상당)
04050,현황처리사(6급상당)
04051,현황처리사(7급상당)
04052,원가관리사(6급상당)
04053,원가관리사(7급상당)
04054,훈련지도원(7급상당)
04055,위생원(8급상당)
04056,공업연구관(5급상당)
04057,촬영담당(6급상당)
04058,촬영담당(7급상당)
04059,공연담당(5급상당)
04060,예비군민방위담당(6급상당)
04061,예비군민방위담당(7급상당)
04062,분소관리담당(6급상당)
04063,종자정선기사(6급상당)
04064,조사담당(5급상당)
04065,무대기계미술담당(6급상당)
04066,무대기계미술담당(7급상당)
04067,경호관(1급상당)
04068,경호관(2급상당)
04069,경호관(3급상당)
04070,경호관(4급상당)
04071,경호관(5급상당)
04072,경호원(6급상당)
04073,경호원(7급상당)
04074,경호원(8급상당)
04075,경호원(9급상당)
04076,과장(4급상당)
04077,회담지원요원(6급상당)
04078,수질관리담당(5급상당)
04079,기장노선자격심사담당(5급상당)
04082,방송시설담당(5급상당)
04083,방송시설담당(6급상당)
04084,방송시설담당(7급상당)
04085,방송청취담당(5급상당)
04086,방송청취담당(6급상당)
04087,방송청취담당(7급상당)
04088,회의운영담당(5급상당)
04089,회의운영담당(6급상당)
04090,회의운영담당(7급상당)
04091,자료편집담당(5급상당)
04092,자료편집담당(6급상당)
04093,자료편집담당(7급상당)
04094,포상기록담당(6급상당)
04095,직무분석담당(6급상당)
04096,약제담당(5급상당)
04097,의료용품취급요원(6급상당)
04098,마약감식관(5급상당)
04099,마약감식담당(6급상당)
04100,마약감식담당(7급상당)
04101,재활치료사(7급상당)
04102,시험연구장비관리요원(6급상당)
04103,약사감시관(5급상당)
04104,약사감시원(6급상당)
04105,약사감시원(7급상당)
04106,약사감시원(8급상당)
04107,거짓말탐지기검사담당(7급상당)
04108,음성분석담당(7급상당)
04109,신문편집관(5급상당)
04110,신문논설위원(5급상당)
04111,신문논설담당(6급상당)
04112,신문취재담당(6급상당)
04113,신문취재담당(7급상당)
04114,방송심의위원(5급상당)
04115,방송심의요원(7급상당)
04116,방송기술담당(6급상당)
04117,방송기술요원(7급상당)
04118,영화제작관(5급상당)
04119,영화제작담당(6급상당)
04120,영화제작요원(7급상당)
04121,체육교관(7급상당)
04122,광고물관리요원(6급상당)
04123,교육연구관
04124,교육연구사
04125,교육감
04126,교육장
04127,장학관
04128,장학사
04129,총장
04130,부총장
04131,학장
04132,부학장
04133,대학원장
04134,교수
04135,부교수
04136,조교수
04137,전임강사
04138,조교
04145,초등학교장
04146,초등학교교감
04147,초등학교교사
04148,유치원장
04149,유치원감
04150,유치원교사
04151,특수학교교장
04152,특수학교교감
04153,특수학교교사
04154,치안총감
04155,치안정감
04156,치안감
04157,경무관
04158,총경
04159,경정
04160,경감
04161,경위
04162,경사
04163,경장
04164,순경
04165,소방정감
04166,소방감
04167,소방정
04168,소방령
04169,소방경
04170,소방위
04171,소방장
04172,소방교
04173,소방사
04174,대사(특1급)
04175,대사(특1급상당)
04176,대사(특2급)
04177,대사(특2급상당)
04209,검찰총장
04210,고등검사장
04211,검사장
04214,검사
04215,원수
04216,육군대장
04217,육군중장
04218,육군소장
04219,육군준장
04220,육군대령
04221,육군중령
04222,육군소령
04223,육군대위
04224,육군중위
04225,육군소위
04226,육군준위
04227,육군상사
04228,육군중사
04229,육군하사
04230,육군병장
04231,육군상병
04232,육군일병
04233,육군이병
04234,육군방위병
04235,해군대장
04236,해군중장
04237,해군소장
04238,해군준장
04239,해군대령
04240,해군중령
04241,해군소령
04242,해군대위
04243,해군중위
04244,해군소위
04245,해군준위
04246,해군상사
04247,해군중사
04248,해군하사
04249,해군병장
04250,해군상병
04251,해군일병
04252,해군이병
04253,해군방위병
04254,공군대장
04255,공군중장
04256,공군소장
04257,공군준장
04258,공군대령
04259,공군중령
04260,공군소령
04261,공군대위
04262,공군중위
04263,공군소위
04264,공군준위
04265,공군상사
04266,공군중사
04267,공군하사
04268,공군병장
04269,공군상병
04270,공군일병
04271,공군이병
04272,공군방위병
04273,해병대장
04274,해병중장
